date,clusters
2023-12-06,"ADM,DTE,ED,ETN,FAST,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CDNS,FI;CERN;FISV;MSFT;SIVB"
2023-12-07,"ADM,DTE,ED,ETN,FAST,HON,KO,MGM,TROW,WM,XOM,XRAY;CDNS,FI;FICO,ORCL;CERN;FISV;MSFT;SIVB"
2023-12-08,"ADM,DTE,ED,ETN,FAST,HON,KO,MGM,TROW,WM,XOM,XRAY;CDNS,FI;FICO,ORCL;CERN;FISV;MSFT;SIVB"
2023-12-11,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;MSFT;SIVB"
2023-12-12,"ADM,DTE,ED,ETN,FAST,FICO,HON,KO,MGM,TROW,WM,XOM,XRAY;CDNS,FI;CERN;FISV;MSFT;ORCL;SIVB"
2023-12-13,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;MSFT;SIVB"
2023-12-14,"CDNS,DTE,ED,FI,FICO,KO,WM;ADM,ETN,MGM,TROW,XOM,XRAY;FAST,HON;CERN;FISV;MSFT;ORCL;SIVB"
2023-12-15,"ADM,CDNS,DTE,ED,ETN,FI,FICO,KO,MGM,MSFT,TROW,WM,XOM,XRAY;FAST,HON;CERN;FISV;ORCL;SIVB"
2023-12-18,"CDNS,DTE,ED,ETN,FI,FICO,KO,MGM,MSFT,WM;TROW,XOM,XRAY;FAST,HON;ADM;CERN;FISV;ORCL;SIVB"
2023-12-19,"CDNS,DTE,ED,FI,FICO,KO,MGM,MSFT,WM;FAST,HON;TROW,XRAY;ADM;CERN;ETN;FISV;ORCL;SIVB;XOM"
2023-12-20,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;FISV;ORCL;SIVB"
2023-12-21,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;FISV;ORCL;SIVB"
2023-12-22,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;FISV;ORCL;SIVB"
2023-12-26,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;FISV;ORCL;SIVB"
2023-12-27,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-12-28,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FAST;FISV;SIVB"
2023-12-29,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2024-01-02,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2024-01-03,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2024-01-04,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2024-01-05,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2024-01-08,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2024-01-09,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2024-01-10,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2024-01-11,"CDNS,ETN,FAST,FI,FICO,HON,MGM,MSFT,ORCL,TROW,WM,XRAY;DTE,ED,KO;ADM;CERN;FISV;SIVB;XOM"
2024-01-12,"CDNS,ETN,FAST,FI,FICO,HON,MSFT,ORCL,TROW,WM,XRAY;DTE,ED,KO;ADM;CERN;FISV;MGM;SIVB;XOM"
2024-01-16,"CDNS,ETN,FAST,FI,FICO,HON,MSFT,ORCL,TROW,WM,XRAY;DTE,ED,KO,XOM;ADM;CERN;FISV;MGM;SIVB"
2024-01-17,"CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;ADM;CERN;FISV;SIVB;XOM"
2024-01-18,"CDNS,DTE,ED,FAST,FICO,HON,KO,MSFT,ORCL,TROW,WM,XOM,XRAY;ADM;CERN;ETN;FI;FISV;MGM;SIVB"
2024-01-19,"CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;ADM;CERN;FISV;SIVB"
2024-01-22,"CDNS,DTE,ED,ETN,FAST,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;ADM;CERN;FI;FISV;SIVB"
2024-01-23,"DTE,ED,FAST,HON,KO,MGM,ORCL,WM,XOM;CDNS,ETN;FI,TROW;FICO,XRAY;ADM;CERN;FISV;MSFT;SIVB"
